date,sex,place,last_name,first_name,total
08/02/2023,Womens,Park,TREW,Arisa,79.83
08/02/2023,Womens,Park,STESS,Minna,78.85
08/02/2023,Womens,Park,LASO,Naia,77.66
08/02/2023,Womens,Park,LILLEY,Ruby,77.33
08/02/2023,Womens,Park,TREW,Ruby,77.0
08/02/2023,Womens,Park,ASP,Yndiara,76.86
08/02/2023,Womens,Park,TABOULET,Nana,75.23
08/02/2023,Womens,Park,STOEPHASIUS,Lilly,75.03
08/02/2023,Womens,Park,ERICKSON,Lillian,74.66
08/02/2023,Womens,Park,WETTSTEIN,Bryce,72.88
08/02/2023,Womens,Park,TAMBLING,Lola,72.83
08/02/2023,Womens,Park,SANTANA,Jordan,72.33
08/02/2023,Womens,Park,OLIVEIRA,Raicca,72.2
08/02/2023,Womens,Park,MARHOEFER,Grace,70.55
08/02/2023,Womens,Park,KUSAKI,Hinano,69.73
08/02/2023,Womens,Park,BARRATT,Jordyn,68.82
08/02/2023,Womens,Park,NAKAMURA,Kisa,68.13
08/02/2023,Womens,Park,MAKIBBIN,Carlin,67.31
08/02/2023,Womens,Park,PEREIRA,Dora,65.9
08/02/2023,Womens,Park,ALEXANDRE,Emilie,65.33
08/02/2023,Womens,Park,OGAWA,Kihana,63.96
08/02/2023,Womens,Park,BENEDETTI,Julia,63.8
08/02/2023,Womens,Park,EBERT,Fay,62.36
08/02/2023,Womens,Park,TEZUKA,Mami,58.0
08/02/2023,Womens,Park,BASSI,Victoria,57.23
08/02/2023,Womens,Park,CHO,Hyunju,56.4
08/02/2023,Womens,Park,PACHECO,Isadora,52.96
08/02/2023,Womens,Park,JOHNSEY,Harlow,49.0
08/02/2023,Womens,Park,TREW,Arisa,79.83
08/02/2023,Womens,Park,STESS,Minna,78.85
08/02/2023,Womens,Park,LASO,Naia,77.66
08/02/2023,Womens,Park,LILLEY,Ruby,77.33
08/02/2023,Womens,Park,TREW,Ruby,77.0
08/02/2023,Womens,Park,ASP,Yndiara,76.86
08/02/2023,Womens,Park,TABOULET,Nana,75.23
08/02/2023,Womens,Park,STOEPHASIUS,Lilly,75.03
08/02/2023,Womens,Park,ERICKSON,Lillian,74.66
08/02/2023,Womens,Park,WETTSTEIN,Bryce,72.88
08/02/2023,Womens,Park,TAMBLING,Lola,72.83
08/02/2023,Womens,Park,SANTANA,Jordan,72.33
08/02/2023,Womens,Park,OLIVEIRA,Raicca,72.2
08/02/2023,Womens,Park,MARHOEFER,Grace,70.55
08/02/2023,Womens,Park,KUSAKI,Hinano,69.73
08/02/2023,Womens,Park,BARRATT,Jordyn,68.82
08/02/2023,Womens,Park,NAKAMURA,Kisa,68.13
08/02/2023,Womens,Park,MAKIBBIN,Carlin,67.31
08/02/2023,Womens,Park,PEREIRA,Dora,65.9
08/02/2023,Womens,Park,ALEXANDRE,Emilie,65.33
08/02/2023,Womens,Park,OGAWA,Kihana,63.96
08/02/2023,Womens,Park,BENEDETTI,Julia,63.8
08/02/2023,Womens,Park,EBERT,Fay,62.36
08/02/2023,Womens,Park,TEZUKA,Mami,58.0
08/02/2023,Womens,Park,BASSI,Victoria,57.23
08/02/2023,Womens,Park,CHO,Hyunju,56.4
08/02/2023,Womens,Park,PACHECO,Isadora,52.96
08/02/2023,Womens,Park,JOHNSEY,Harlow,49.0
08/02/2023,Womens,Park,FESSL,Alisa,46.3
08/02/2023,Womens,Park,SIRVIO,Heili,45.66
08/02/2023,Womens,Park,HEATH,Charlotte,45.3
08/02/2023,Womens,Park,SUGAWARA,Mei,44.04
08/02/2023,Womens,Park,LIN,Yi-fan,43.16
08/02/2023,Womens,Park,TONISSI,Nanda,41.5
08/02/2023,Womens,Park,RUSSI,Nico,40.83
08/02/2023,Womens,Park,LEGUIZAMON,Erica,40.0
08/02/2023,Womens,Park,MAO,Jiasi,39.33
08/02/2023,Womens,Park,LARCHERON,Madeleine,38.5
08/02/2023,Womens,Park,STRACHAN,Lilly,37.76
08/02/2023,Womens,Park,VICENTE,Lua,37.74
08/02/2023,Womens,Park,SUGAWARA,Rui,37.0
08/02/2023,Womens,Park,MORALES,DEL,37.0
08/02/2023,Womens,Park,ZARATTINI,Lucrezia,35.66
08/02/2023,Womens,Park,AGUILAR,ARISTA,34.06
08/02/2023,Womens,Park,MEYERS,Taniah,34.03
08/02/2023,Womens,Park,ANTUNES,Emily,33.83
08/02/2023,Womens,Park,WILSON,Aaliyah,33.0
08/02/2023,Womens,Park,JOHNS,Zahra,29.23
08/02/2023,Womens,Park,GWAK,Minji,28.25
08/02/2023,Womens,Park,GODOY,Sofia,27.86
08/02/2023,Womens,Park,HJERTBERG,Hedda,26.46
08/02/2023,Womens,Park,LI,Yujuan,26.23
08/02/2023,Womens,Park,ARZUA,Ailin,26.0
08/02/2023,Womens,Park,TAPIA,Josefina,25.76
08/02/2023,Womens,Park,OJEDA,MARTINEZ,20.85
08/02/2023,Womens,Park,SHI,Jiangmei,19.58
08/02/2023,Womens,Park,CINTA,Bunga,13.33
08/02/2023,Womens,Park,ZHANG,Hongfei,11.96
08/02/2023,Womens,Park,FRASER,Kaede,10.2
08/02/2023,Womens,Park,VAZQUEZ,Jesica,4.06
09/02/2023,Mens,Park,EATON,Jagger,78.0
09/02/2023,Mens,Park,NAGAHARA,Yuro,75.33
09/02/2023,Mens,Park,AKIO,Augusto,74.0
09/02/2023,Mens,Park,CAREW,Tate,72.66
09/02/2023,Mens,Park,SCHAAR,Tom,72.2
09/02/2023,Mens,Park,PACE,Liam,71.7
09/02/2023,Mens,Park,BOTTGER,Gavin,71.23
09/02/2023,Mens,Park,LEON,Danny,70.91
09/02/2023,Mens,Park,PINEIRO,Steven,70.63
09/02/2023,Mens,Park,FRANCISCO,Kiko,70.0
09/02/2023,Mens,Park,MAZZARA,Alessandro,70.0
09/02/2023,Mens,Park,FEDERICO,Ivan,68.76
09/02/2023,Mens,Park,GLIFBERG,Rune,68.36
09/02/2023,Mens,Park,MATHERON,Vincent,67.2
09/02/2023,Mens,Park,BEHAR,Yam,67.0
09/02/2023,Mens,Park,QUINTAS,Pedro,66.6
09/02/2023,Mens,Park,DAMESTOY,Edouard,66.3
09/02/2023,Mens,Park,WINBERG,Hampus,65.76
09/02/2023,Mens,Park,NILSEN,Elias,65.73
09/02/2023,Mens,Park,DIRKSEN,Joshua,65.16
09/02/2023,Mens,Park,NYE,Taylor,64.76
09/02/2023,Mens,Park,WILSON,Keefer,64.66
09/02/2023,Mens,Park,WOOLLEY,Kieran,64.06
09/02/2023,Mens,Park,PERES,Murilo,62.99
09/02/2023,Mens,Park,CINI,Luigi,62.83
09/02/2023,Mens,Park,WILCOMES,Ash,62.56
09/02/2023,Mens,Park,EDTMAYER,Tyler,61.36
09/02/2023,Mens,Park,SORGENTE,Alessandro,61.36
09/02/2023,Mens,Park,EATON,Jagger,78.0
09/02/2023,Mens,Park,NAGAHARA,Yuro,75.33
09/02/2023,Mens,Park,AKIO,Augusto,74.0
09/02/2023,Mens,Park,CAREW,Tate,72.66
09/02/2023,Mens,Park,SCHAAR,Tom,72.2
09/02/2023,Mens,Park,PACE,Liam,71.7
09/02/2023,Mens,Park,BOTTGER,Gavin,71.23
09/02/2023,Mens,Park,LEON,Danny,70.91
09/02/2023,Mens,Park,PINEIRO,Steven,70.63
09/02/2023,Mens,Park,FRANCISCO,Kiko,70.0
09/02/2023,Mens,Park,MAZZARA,Alessandro,70.0
09/02/2023,Mens,Park,FEDERICO,Ivan,68.76
09/02/2023,Mens,Park,GLIFBERG,Rune,68.36
09/02/2023,Mens,Park,MATHERON,Vincent,67.2
09/02/2023,Mens,Park,BEHAR,Yam,67.0
09/02/2023,Mens,Park,QUINTAS,Pedro,66.6
09/02/2023,Mens,Park,DAMESTOY,Edouard,66.3
09/02/2023,Mens,Park,WINBERG,Hampus,65.76
09/02/2023,Mens,Park,NILSEN,Elias,65.73
09/02/2023,Mens,Park,DIRKSEN,Joshua,65.16
09/02/2023,Mens,Park,NYE,Taylor,64.76
09/02/2023,Mens,Park,WILSON,Keefer,64.66
09/02/2023,Mens,Park,WOOLLEY,Kieran,64.06
09/02/2023,Mens,Park,PERES,Murilo,62.99
09/02/2023,Mens,Park,CINI,Luigi,62.83
09/02/2023,Mens,Park,WILCOMES,Ash,62.56
09/02/2023,Mens,Park,EDTMAYER,Tyler,61.36
09/02/2023,Mens,Park,SORGENTE,Alessandro,61.36
09/02/2023,Mens,Park,CARVALHO,Pedro,61.33
09/02/2023,Mens,Park,COPELAND,Ethan,60.76
09/02/2023,Mens,Park,SOLMUNDE,Viktor,60.3
09/02/2023,Mens,Park,FAGUNDES,Hericles,59.98
09/02/2023,Mens,Park,KHURY,Guilherme,59.46
09/02/2023,Mens,Park,PANTALEO,Jean,59.4
09/02/2023,Mens,Park,BECKETT,Sam,57.73
09/02/2023,Mens,Park,MONTAGARD,Noe,56.8
09/02/2023,Mens,Park,THOMAS,Jesse,56.13
09/02/2023,Mens,Park,SEINO,Mateus,56.1
09/02/2023,Mens,Park,JANSSEN,Lenni,56.0
09/02/2023,Mens,Park,AUGUSTO,Thomas,55.83
09/02/2023,Mens,Park,SINNERTON,Phoenix,55.33
09/02/2023,Mens,Park,SASAOKA,Kensuke,53.9
09/02/2023,Mens,Park,CHEN,Ye,53.0
09/02/2023,Mens,Park,CALVERT,Tommy,52.61
09/02/2023,Mens,Park,SANCHEZ,JD,52.5
09/02/2023,Mens,Park,ALBREKTSSON,Noah,52.3
09/02/2023,Mens,Park,MACDONALD,Andrew,51.9
09/02/2023,Mens,Park,KORTABITARTE,Alain,46.53
09/02/2023,Mens,Park,DIAS,Sandro,44.83
09/02/2023,Mens,Park,MARTIN,Tom,43.66
09/02/2023,Mens,Park,NICHOLLS,Caleb,42.13
09/02/2023,Mens,Park,O`NEILL,George,40.0
09/02/2023,Mens,Park,HOLM,Oliver,39.48
09/02/2023,Mens,Park,HOPKINS,Adam,38.0
09/02/2023,Mens,Park,MAGIAR,Magnus,37.9
09/02/2023,Mens,Park,RUHOFF,Greg,36.33
09/02/2023,Mens,Park,KURIBAYASHI,Rempei,35.76
09/02/2023,Mens,Park,JAQUE,Martin,35.32
09/02/2023,Mens,Park,MARIANO,André,35.06
09/02/2023,Mens,Park,MARTIN,Kayo,34.83
09/02/2023,Mens,Park,INGRILLI,Jesse,33.76
09/02/2023,Mens,Park,CORTEZ,William,33.56
09/02/2023,Mens,Park,KONIG,Kalani,33.2
09/02/2023,Mens,Park,KRISTOFERITSCH,Jakob,32.6
09/02/2023,Mens,Park,SCHEELJE,Raphael,32.03
09/02/2023,Mens,Park,ZAPATA,Daniel,29.5
09/02/2023,Mens,Park,YANKO,Jake,29.16
09/02/2023,Mens,Park,EATON,Jagger,78.0
09/02/2023,Mens,Park,NAGAHARA,Yuro,75.33
09/02/2023,Mens,Park,AKIO,Augusto,74.0
09/02/2023,Mens,Park,CAREW,Tate,72.66
09/02/2023,Mens,Park,SCHAAR,Tom,72.2
09/02/2023,Mens,Park,PACE,Liam,71.7
09/02/2023,Mens,Park,BOTTGER,Gavin,71.23
09/02/2023,Mens,Park,LEON,Danny,70.91
09/02/2023,Mens,Park,PINEIRO,Steven,70.63
09/02/2023,Mens,Park,FRANCISCO,Kiko,70.0
09/02/2023,Mens,Park,MAZZARA,Alessandro,70.0
09/02/2023,Mens,Park,FEDERICO,Ivan,68.76
09/02/2023,Mens,Park,GLIFBERG,Rune,68.36
09/02/2023,Mens,Park,MATHERON,Vincent,67.2
09/02/2023,Mens,Park,BEHAR,Yam,67.0
09/02/2023,Mens,Park,QUINTAS,Pedro,66.6
09/02/2023,Mens,Park,DAMESTOY,Edouard,66.3
09/02/2023,Mens,Park,WINBERG,Hampus,65.76
09/02/2023,Mens,Park,NILSEN,Elias,65.73
09/02/2023,Mens,Park,DIRKSEN,Joshua,65.16
09/02/2023,Mens,Park,NYE,Taylor,64.76
09/02/2023,Mens,Park,WILSON,Keefer,64.66
09/02/2023,Mens,Park,WOOLLEY,Kieran,64.06
09/02/2023,Mens,Park,PERES,Murilo,62.99
09/02/2023,Mens,Park,CINI,Luigi,62.83
09/02/2023,Mens,Park,WILCOMES,Ash,62.56
09/02/2023,Mens,Park,EDTMAYER,Tyler,61.36
09/02/2023,Mens,Park,SORGENTE,Alessandro,61.36
09/02/2023,Mens,Park,CARVALHO,Pedro,61.33
09/02/2023,Mens,Park,COPELAND,Ethan,60.76
09/02/2023,Mens,Park,SOLMUNDE,Viktor,60.3
09/02/2023,Mens,Park,FAGUNDES,Hericles,59.98
09/02/2023,Mens,Park,KHURY,Guilherme,59.46
09/02/2023,Mens,Park,PANTALEO,Jean,59.4
09/02/2023,Mens,Park,BECKETT,Sam,57.73
09/02/2023,Mens,Park,MONTAGARD,Noe,56.8
09/02/2023,Mens,Park,THOMAS,Jesse,56.13
09/02/2023,Mens,Park,SEINO,Mateus,56.1
09/02/2023,Mens,Park,JANSSEN,Lenni,56.0
09/02/2023,Mens,Park,AUGUSTO,Thomas,55.83
09/02/2023,Mens,Park,SINNERTON,Phoenix,55.33
09/02/2023,Mens,Park,SASAOKA,Kensuke,53.9
09/02/2023,Mens,Park,CHEN,Ye,53.0
09/02/2023,Mens,Park,CALVERT,Tommy,52.61
09/02/2023,Mens,Park,SANCHEZ,JD,52.5
09/02/2023,Mens,Park,ALBREKTSSON,Noah,52.3
09/02/2023,Mens,Park,MACDONALD,Andrew,51.9
09/02/2023,Mens,Park,KORTABITARTE,Alain,46.53
09/02/2023,Mens,Park,DIAS,Sandro,44.83
09/02/2023,Mens,Park,MARTIN,Tom,43.66
09/02/2023,Mens,Park,NICHOLLS,Caleb,42.13
09/02/2023,Mens,Park,O`NEILL,George,40.0
09/02/2023,Mens,Park,HOLM,Oliver,39.48
09/02/2023,Mens,Park,HOPKINS,Adam,38.0
09/02/2023,Mens,Park,MAGIAR,Magnus,37.9
09/02/2023,Mens,Park,RUHOFF,Greg,36.33
09/02/2023,Mens,Park,KURIBAYASHI,Rempei,35.76
09/02/2023,Mens,Park,JAQUE,Martin,35.32
09/02/2023,Mens,Park,MARIANO,André,35.06
09/02/2023,Mens,Park,MARTIN,Kayo,34.83
09/02/2023,Mens,Park,INGRILLI,Jesse,33.76
09/02/2023,Mens,Park,CORTEZ,William,33.56
09/02/2023,Mens,Park,KONIG,Kalani,33.2
09/02/2023,Mens,Park,KRISTOFERITSCH,Jakob,32.6
09/02/2023,Mens,Park,SCHEELJE,Raphael,32.03
09/02/2023,Mens,Park,ZAPATA,Daniel,29.5
09/02/2023,Mens,Park,YANKO,Jake,29.16
09/02/2023,Mens,Park,CUERVO,Danny,28.66
09/02/2023,Mens,Park,SUNDGAARD,Nicklas,28.16
09/02/2023,Mens,Park,OSIRIS,Evan,27.78
09/02/2023,Mens,Park,ZOREF,Omar,26.8
09/02/2023,Mens,Park,VINDVI,Ilon,26.06
09/02/2023,Mens,Park,HOFFMANN,Otto,26.0
09/02/2023,Mens,Park,UEDA,Raphael,25.62
09/02/2023,Mens,Park,JIROVEC,Tobi,25.43
09/02/2023,Mens,Park,DE,HAAN,24.79
09/02/2023,Mens,Park,KYMÄLÄINEN,Mikko,22.36
09/02/2023,Mens,Park,OBERHOLZER,Dallas,22.3
09/02/2023,Mens,Park,RAE,Marley,21.9
09/02/2023,Mens,Park,ÖJERT,Calle,21.8
09/02/2023,Mens,Park,HAN,Jaejin,21.76
09/02/2023,Mens,Park,INOMATA,Soya,21.04
09/02/2023,Mens,Park,FERNANDEZ,Rodrigo,20.93
09/02/2023,Mens,Park,KARLSSON,Simon,20.83
09/02/2023,Mens,Park,CLARKE,James,20.83
09/02/2023,Mens,Park,PINEIRO,Juan,20.8
09/02/2023,Mens,Park,KIM,Donghyeok,20.4
09/02/2023,Mens,Park,LI,Mingxiao,20.26
09/02/2023,Mens,Park,BO,YU,20.26
09/02/2023,Mens,Park,FORSSELL,Erik,20.06
09/02/2023,Mens,Park,LI,Xiaoang,19.96
09/02/2023,Mens,Park,HIRANO,Ayumu,19.96
09/02/2023,Mens,Park,DULUDE,Phil,19.83
09/02/2023,Mens,Park,FAMILTON,Jake,19.39
09/02/2023,Mens,Park,KARHU,Luca,18.96
09/02/2023,Mens,Park,WARD,Oli,18.83
09/02/2023,Mens,Park,WU,Bowen,18.03
09/02/2023,Mens,Park,COCILOVA,Omar,17.43
09/02/2023,Mens,Park,BARRERA,Max,17.0
09/02/2023,Mens,Park,TOMSOVSKY,Jan,16.56
09/02/2023,Mens,Park,IVANCHENKO,Moti,16.13
09/02/2023,Mens,Park,BRAMLEY,Damian,15.53
09/02/2023,Mens,Park,ERIKSSON,Taneli,15.33
09/02/2023,Mens,Park,KETKAEO,Konwit,15.0
09/02/2023,Mens,Park,RAHMAN,Farris,14.86
09/02/2023,Mens,Park,DONNINI,Dylan,14.83
09/02/2023,Mens,Park,EATON,Jagger,78.0
09/02/2023,Mens,Park,NAGAHARA,Yuro,75.33
09/02/2023,Mens,Park,AKIO,Augusto,74.0
09/02/2023,Mens,Park,CAREW,Tate,72.66
09/02/2023,Mens,Park,SCHAAR,Tom,72.2
09/02/2023,Mens,Park,PACE,Liam,71.7
09/02/2023,Mens,Park,BOTTGER,Gavin,71.23
09/02/2023,Mens,Park,LEON,Danny,70.91
09/02/2023,Mens,Park,PINEIRO,Steven,70.63
09/02/2023,Mens,Park,FRANCISCO,Kiko,70.0
09/02/2023,Mens,Park,MAZZARA,Alessandro,70.0
09/02/2023,Mens,Park,FEDERICO,Ivan,68.76
09/02/2023,Mens,Park,GLIFBERG,Rune,68.36
09/02/2023,Mens,Park,MATHERON,Vincent,67.2
09/02/2023,Mens,Park,BEHAR,Yam,67.0
09/02/2023,Mens,Park,QUINTAS,Pedro,66.6
09/02/2023,Mens,Park,DAMESTOY,Edouard,66.3
09/02/2023,Mens,Park,WINBERG,Hampus,65.76
09/02/2023,Mens,Park,NILSEN,Elias,65.73
09/02/2023,Mens,Park,DIRKSEN,Joshua,65.16
09/02/2023,Mens,Park,NYE,Taylor,64.76
09/02/2023,Mens,Park,WILSON,Keefer,64.66
09/02/2023,Mens,Park,WOOLLEY,Kieran,64.06
09/02/2023,Mens,Park,PERES,Murilo,62.99
09/02/2023,Mens,Park,CINI,Luigi,62.83
09/02/2023,Mens,Park,WILCOMES,Ash,62.56
09/02/2023,Mens,Park,EDTMAYER,Tyler,61.36
09/02/2023,Mens,Park,SORGENTE,Alessandro,61.36
09/02/2023,Mens,Park,CARVALHO,Pedro,61.33
09/02/2023,Mens,Park,COPELAND,Ethan,60.76
09/02/2023,Mens,Park,SOLMUNDE,Viktor,60.3
09/02/2023,Mens,Park,FAGUNDES,Hericles,59.98
09/02/2023,Mens,Park,KHURY,Guilherme,59.46
09/02/2023,Mens,Park,PANTALEO,Jean,59.4
09/02/2023,Mens,Park,BECKETT,Sam,57.73
09/02/2023,Mens,Park,MONTAGARD,Noe,56.8
09/02/2023,Mens,Park,THOMAS,Jesse,56.13
09/02/2023,Mens,Park,SEINO,Mateus,56.1
09/02/2023,Mens,Park,JANSSEN,Lenni,56.0
09/02/2023,Mens,Park,AUGUSTO,Thomas,55.83
09/02/2023,Mens,Park,SINNERTON,Phoenix,55.33
09/02/2023,Mens,Park,SASAOKA,Kensuke,53.9
09/02/2023,Mens,Park,CHEN,Ye,53.0
09/02/2023,Mens,Park,CALVERT,Tommy,52.61
09/02/2023,Mens,Park,SANCHEZ,JD,52.5
09/02/2023,Mens,Park,ALBREKTSSON,Noah,52.3
09/02/2023,Mens,Park,MACDONALD,Andrew,51.9
09/02/2023,Mens,Park,KORTABITARTE,Alain,46.53
09/02/2023,Mens,Park,DIAS,Sandro,44.83
09/02/2023,Mens,Park,MARTIN,Tom,43.66
09/02/2023,Mens,Park,NICHOLLS,Caleb,42.13
09/02/2023,Mens,Park,O`NEILL,George,40.0
09/02/2023,Mens,Park,HOLM,Oliver,39.48
09/02/2023,Mens,Park,HOPKINS,Adam,38.0
09/02/2023,Mens,Park,MAGIAR,Magnus,37.9
09/02/2023,Mens,Park,RUHOFF,Greg,36.33
09/02/2023,Mens,Park,KURIBAYASHI,Rempei,35.76
09/02/2023,Mens,Park,JAQUE,Martin,35.32
09/02/2023,Mens,Park,MARIANO,André,35.06
09/02/2023,Mens,Park,MARTIN,Kayo,34.83
09/02/2023,Mens,Park,INGRILLI,Jesse,33.76
09/02/2023,Mens,Park,CORTEZ,William,33.56
09/02/2023,Mens,Park,KONIG,Kalani,33.2
09/02/2023,Mens,Park,KRISTOFERITSCH,Jakob,32.6
09/02/2023,Mens,Park,SCHEELJE,Raphael,32.03
09/02/2023,Mens,Park,ZAPATA,Daniel,29.5
09/02/2023,Mens,Park,YANKO,Jake,29.16
09/02/2023,Mens,Park,CUERVO,Danny,28.66
09/02/2023,Mens,Park,SUNDGAARD,Nicklas,28.16
09/02/2023,Mens,Park,OSIRIS,Evan,27.78
09/02/2023,Mens,Park,ZOREF,Omar,26.8
09/02/2023,Mens,Park,VINDVI,Ilon,26.06
09/02/2023,Mens,Park,HOFFMANN,Otto,26.0
09/02/2023,Mens,Park,UEDA,Raphael,25.62
09/02/2023,Mens,Park,JIROVEC,Tobi,25.43
09/02/2023,Mens,Park,DE,HAAN,24.79
09/02/2023,Mens,Park,KYMÄLÄINEN,Mikko,22.36
09/02/2023,Mens,Park,OBERHOLZER,Dallas,22.3
09/02/2023,Mens,Park,RAE,Marley,21.9
09/02/2023,Mens,Park,ÖJERT,Calle,21.8
09/02/2023,Mens,Park,HAN,Jaejin,21.76
09/02/2023,Mens,Park,INOMATA,Soya,21.04
09/02/2023,Mens,Park,FERNANDEZ,Rodrigo,20.93
09/02/2023,Mens,Park,KARLSSON,Simon,20.83
09/02/2023,Mens,Park,CLARKE,James,20.83
09/02/2023,Mens,Park,PINEIRO,Juan,20.8
09/02/2023,Mens,Park,KIM,Donghyeok,20.4
09/02/2023,Mens,Park,LI,Mingxiao,20.26
09/02/2023,Mens,Park,BO,YU,20.26
09/02/2023,Mens,Park,FORSSELL,Erik,20.06
09/02/2023,Mens,Park,LI,Xiaoang,19.96
09/02/2023,Mens,Park,HIRANO,Ayumu,19.96
09/02/2023,Mens,Park,DULUDE,Phil,19.83
09/02/2023,Mens,Park,FAMILTON,Jake,19.39
09/02/2023,Mens,Park,KARHU,Luca,18.96
09/02/2023,Mens,Park,WARD,Oli,18.83
09/02/2023,Mens,Park,WU,Bowen,18.03
09/02/2023,Mens,Park,COCILOVA,Omar,17.43
09/02/2023,Mens,Park,BARRERA,Max,17.0
09/02/2023,Mens,Park,TOMSOVSKY,Jan,16.56
09/02/2023,Mens,Park,IVANCHENKO,Moti,16.13
09/02/2023,Mens,Park,BRAMLEY,Damian,15.53
09/02/2023,Mens,Park,ERIKSSON,Taneli,15.33
09/02/2023,Mens,Park,KETKAEO,Konwit,15.0
09/02/2023,Mens,Park,RAHMAN,Farris,14.86
09/02/2023,Mens,Park,DONNINI,Dylan,14.83
09/02/2023,Mens,Park,UPAPONG,Brian,13.83
09/02/2023,Mens,Park,LICHTENSTEIN,Noam,13.32
09/02/2023,Mens,Park,LA,COUR,13.03
09/02/2023,Mens,Park,BARRENA,Luka,12.46
09/02/2023,Mens,Park,MITAKE,Hinata,12.16
09/02/2023,Mens,Park,MERCIER,Mehdi,11.71
09/02/2023,Mens,Park,MOON,Gangho,11.5
09/02/2023,Mens,Park,YALÇIN,Recep,9.7
09/02/2023,Mens,Park,BEUKES,Josh-Garreth,8.13
09/02/2023,Mens,Park,YANG,Yuebin,7.66
09/02/2023,Mens,Park,GONZALEZ,Peio,7.0
09/02/2023,Mens,Park,PANUTAI,James,6.83
09/02/2023,Mens,Park,KU,Max,5.9
09/02/2023,Mens,Park,SZENTECZKI,Dániel,5.0
09/02/2023,Mens,Park,BALHARA,Shivam,0.98
10/02/2023,Mens,Park,PALMER,Keegan,88.33
10/02/2023,Mens,Park,BOTTGER,Gavin,85.66
10/02/2023,Mens,Park,BARROS,Pedro,85.64
10/02/2023,Mens,Park,AKIO,Augusto,85.62
10/02/2023,Mens,Park,SCHAAR,Tom,85.6
10/02/2023,Mens,Park,EATON,Jagger,84.23
10/02/2023,Mens,Park,WOOLLEY,Kieran,83.16
10/02/2023,Mens,Park,PACE,Liam,80.0
10/02/2023,Mens,Park,CAREW,Tate,77.9
10/02/2023,Mens,Park,WILCOMES,Ash,75.3
10/02/2023,Mens,Park,REYNOLDS,Heimana,74.4
10/02/2023,Mens,Park,MAZZARA,Alessandro,73.53
10/02/2023,Mens,Park,PINEIRO,Steven,73.5
10/02/2023,Mens,Park,DIRKSEN,Joshua,73.16
10/02/2023,Mens,Park,NYE,Taylor,71.76
10/02/2023,Mens,Park,MATHERON,Vincent,69.37
10/02/2023,Mens,Park,GLIFBERG,Rune,68.66
10/02/2023,Mens,Park,WINBERG,Hampus,68.0
10/02/2023,Mens,Park,NILSEN,Elias,67.83
10/02/2023,Mens,Park,QUINTAS,Pedro,66.97
10/02/2023,Mens,Park,JUNEAU,Cory,64.83
10/02/2023,Mens,Park,PERES,Murilo,63.93
10/02/2023,Mens,Park,NAGAHARA,Yuro,62.0
10/02/2023,Mens,Park,WILSON,Keefer,61.96
10/02/2023,Mens,Park,SORGENTE,Alessandro,57.33
10/02/2023,Mens,Park,FRANCISCO,Kiko,55.33
10/02/2023,Mens,Park,LEON,Danny,52.66
10/02/2023,Mens,Park,BEHAR,Yam,48.13
10/02/2023,Mens,Park,PALMER,Keegan,88.33
10/02/2023,Mens,Park,BOTTGER,Gavin,85.66
10/02/2023,Mens,Park,BARROS,Pedro,85.64
10/02/2023,Mens,Park,AKIO,Augusto,85.62
10/02/2023,Mens,Park,SCHAAR,Tom,85.6
10/02/2023,Mens,Park,EATON,Jagger,84.23
10/02/2023,Mens,Park,WOOLLEY,Kieran,83.16
10/02/2023,Mens,Park,PACE,Liam,80.0
10/02/2023,Mens,Park,CAREW,Tate,77.9
10/02/2023,Mens,Park,WILCOMES,Ash,75.3
10/02/2023,Mens,Park,REYNOLDS,Heimana,74.4
10/02/2023,Mens,Park,MAZZARA,Alessandro,73.53
10/02/2023,Mens,Park,PINEIRO,Steven,73.5
10/02/2023,Mens,Park,DIRKSEN,Joshua,73.16
10/02/2023,Mens,Park,NYE,Taylor,71.76
10/02/2023,Mens,Park,MATHERON,Vincent,69.37
10/02/2023,Mens,Park,GLIFBERG,Rune,68.66
10/02/2023,Mens,Park,WINBERG,Hampus,68.0
10/02/2023,Mens,Park,NILSEN,Elias,67.83
10/02/2023,Mens,Park,QUINTAS,Pedro,66.97
10/02/2023,Mens,Park,JUNEAU,Cory,64.83
10/02/2023,Mens,Park,PERES,Murilo,63.93
10/02/2023,Mens,Park,NAGAHARA,Yuro,62.0
10/02/2023,Mens,Park,WILSON,Keefer,61.96
10/02/2023,Mens,Park,SORGENTE,Alessandro,57.33
10/02/2023,Mens,Park,FRANCISCO,Kiko,55.33
10/02/2023,Mens,Park,LEON,Danny,52.66
10/02/2023,Mens,Park,BEHAR,Yam,48.13
10/02/2023,Mens,Park,FEDERICO,Ivan,47.66
10/02/2023,Mens,Park,EDTMAYER,Tyler,35.0
10/02/2023,Mens,Park,CINI,Luigi,30.5
10/02/2023,Mens,Park,DAMESTOY,Edouard,30.3
10/02/2023,Womens,Park,KUSAKI,Hinano,84.33
10/02/2023,Womens,Park,BROWN,Sky,82.0
10/02/2023,Womens,Park,TAMBLING,Lola,79.83
10/02/2023,Womens,Park,LASO,Naia,78.63
10/02/2023,Womens,Park,HIRAKI,Kokona,77.19
10/02/2023,Womens,Park,MARHOEFER,Grace,77.0
10/02/2023,Womens,Park,STESS,Minna,76.27
10/02/2023,Womens,Park,ASP,Yndiara,75.66
10/02/2023,Womens,Park,YOSOZUMI,Sakura,75.25
